local_time,sex,event,round,startlist_url,results_url,summary_url,points_url
11:05,W,High Jump,Heptathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/high-jump/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/high-jump/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/high-jump/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/high-jump/points#resultheader
11:10,W,4x100 Metres Relay,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/4x100-metres-relay/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/4x100-metres-relay/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/4x100-metres-relay/heats/summary#resultheader,
11:35,M,4x100 Metres Relay,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/4x100-metres-relay/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/4x100-metres-relay/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/4x100-metres-relay/heats/summary#resultheader,
12:00,M,800 Metres,Repechage Round,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/800-metres/repechage-round/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/800-metres/repechage-round/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/800-metres/repechage-round/summary#resultheader,
19:35,W,1500 Metres,Semi-Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/1500-metres/semi-final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/1500-metres/semi-final/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/1500-metres/semi-final/summary#resultheader,
19:35,W,Shot Put,Heptathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/shot-put/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/shot-put/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/shot-put/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/shot-put/points#resultheader
20:00,W,Long Jump,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/long-jump/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/long-jump/final/series#resultheader,,
20:25,M,Javelin Throw,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/javelin-throw/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/javelin-throw/final/series#resultheader,,
20:30,M,200 Metres,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/200-metres/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/200-metres/final/result#resultheader,,
20:55,W,200 Metres,Heptathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/200-metres/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/200-metres/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/200-metres/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/200-metres/points#resultheader
21:25,W,400 Metres Hurdles,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/400-metres-hurdles/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/400-metres-hurdles/final/result#resultheader,,
21:45,M,110 Metres Hurdles,Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/110-metres-hurdles/final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/110-metres-hurdles/final/result#resultheader,,
10:05,W,Long Jump,Heptathlon,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/long-jump/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/long-jump/series#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/long-jump/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/long-jump/points#resultheader
10:40,W,4x400 Metres Relay,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/4x400-metres-relay/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/4x400-metres-relay/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/4x400-metres-relay/heats/summary#resultheader,
11:05,M,4x400 Metres Relay,Heats,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/4x400-metres-relay/heats/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/4x400-metres-relay/heats/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/4x400-metres-relay/heats/summary#resultheader,
11:23,W,Javelin Throw,Heptathlon Group A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/javelin-throw/startlist#A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/javelin-throw/series#A,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/javelin-throw/summary#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/heptathlon/javelin-throw/points#resultheader
11:30,M,800 Metres,Semi-Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/800-metres/semi-final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/800-metres/semi-final/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/men/800-metres/semi-final/summary#resultheader,
12:05,W,100 Metres Hurdles,Semi-Final,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres-hurdles/semi-final/startlist#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres-hurdles/semi-final/result#resultheader,https://worldathletics.org/results/olympic-games/2024/the-xxxiii-olympic-games-7087/women/100-metres-hurdles/semi-final/summary#resultheader,
