Operation,Database,ElapsedUs,EntityType,EntityCount,Scale
DeleteAllAsync,MongoDB,78411,Athlete,8639,5
DeleteAllAsync,PostgreSQL,36666,Event,694,5
DeleteAllAsync,MongoDB,8969,Event,694,5
AddManyAsync,PostgreSQL,302624,Athlete,17280,10
AddManyAsync,MongoDB,311768,Athlete,17280,10
AddManyAsync,PostgreSQL,116119,Event,1390,10
AddManyAsync,MongoDB,62711,Event,1390,10
AddManyAsync,PostgreSQL,1786602,Result,35500,10
AddManyAsync,MongoDB,717393,Result,35500,10
GetByIdAsync,PostgreSQL,12780,Athlete,1,10
GetByIdAsync,MongoDB,39397,Athlete,1,10
GetByIdAsync,PostgreSQL,3556,Event,1,10
GetByIdAsync,MongoDB,4385,Event,1,10
GetByIdAsync,PostgreSQL,3300,Result,1,10
GetByIdAsync,MongoDB,5277,Result,1,10
GetAllAsync,PostgreSQL,47266,Athlete,17280,10
GetAllAsync,MongoDB,99245,Athlete,17280,10
GetAllAsync,PostgreSQL,8262,Event,1390,10
GetAllAsync,MongoDB,15058,Event,1390,10
GetAllAsync,PostgreSQL,70137,Result,35500,10
GetAllAsync,MongoDB,1071069,Result,35500,10
UpdateAsync,PostgreSQL,4400,Athlete,1,10
UpdateAsync,MongoDB,28282,Athlete,1,10
UpdateAsync,PostgreSQL,6674,Event,1,10
UpdateAsync,MongoDB,2557,Event,1,10
UpdateAsync,PostgreSQL,9283,Result,1,10
UpdateAsync,MongoDB,2907,Result,1,10
DeleteAsync,PostgreSQL,8960,Result,1,10
DeleteAsync,MongoDB,18798,Result,1,10
DeleteAsync,PostgreSQL,7575,Athlete,1,10
DeleteAsync,MongoDB,2293,Athlete,1,10
DeleteAsync,PostgreSQL,6824,Event,1,10
DeleteAsync,MongoDB,2191,Event,1,10
DeleteAllAsync,PostgreSQL,42537,Result,35451,10
DeleteAllAsync,MongoDB,810286,Result,35499,10
DeleteAllAsync,PostgreSQL,1241237,Athlete,17279,10
DeleteAllAsync,MongoDB,111762,Athlete,17279,10
DeleteAllAsync,PostgreSQL,100037,Event,1389,10
DeleteAllAsync,MongoDB,9741,Event,1389,10
AddManyAsync,PostgreSQL,282583,Athlete,17280,10
AddManyAsync,MongoDB,241607,Athlete,17280,10
AddManyAsync,PostgreSQL,54415,Event,1390,10
AddManyAsync,MongoDB,31460,Event,1390,10
AddManyAsync,PostgreSQL,914531,Result,35500,10
AddManyAsync,MongoDB,694976,Result,35500,10
GetByIdAsync,PostgreSQL,12245,Athlete,1,10
GetByIdAsync,MongoDB,38474,Athlete,1,10
GetByIdAsync,PostgreSQL,3447,Event,1,10
GetByIdAsync,MongoDB,4598,Event,1,10
GetByIdAsync,PostgreSQL,3477,Result,1,10
GetByIdAsync,MongoDB,4593,Result,1,10
GetAllAsync,PostgreSQL,46797,Athlete,17280,10
GetAllAsync,MongoDB,90619,Athlete,17280,10
GetAllAsync,PostgreSQL,8165,Event,1390,10
GetAllAsync,MongoDB,15062,Event,1390,10
GetAllAsync,PostgreSQL,70016,Result,35500,10
GetAllAsync,MongoDB,651724,Result,35500,10
UpdateAsync,PostgreSQL,3125,Athlete,1,10
UpdateAsync,MongoDB,10211,Athlete,1,10
UpdateAsync,PostgreSQL,3049,Event,1,10
UpdateAsync,MongoDB,1690,Event,1,10
UpdateAsync,PostgreSQL,2952,Result,1,10
UpdateAsync,MongoDB,1623,Result,1,10
DeleteAsync,PostgreSQL,2715,Result,1,10
DeleteAsync,MongoDB,7184,Result,1,10
DeleteAsync,PostgreSQL,5548,Athlete,1,10
DeleteAsync,MongoDB,1282,Athlete,1,10
DeleteAsync,PostgreSQL,5093,Event,1,10
DeleteAsync,MongoDB,1382,Event,1,10
DeleteAllAsync,PostgreSQL,22924,Result,35451,10
DeleteAllAsync,MongoDB,257861,Result,35499,10
DeleteAllAsync,PostgreSQL,1179593,Athlete,17279,10
DeleteAllAsync,MongoDB,108856,Athlete,17279,10
DeleteAllAsync,PostgreSQL,98529,Event,1389,10
DeleteAllAsync,MongoDB,9752,Event,1389,10
AddManyAsync,PostgreSQL,295272,Athlete,17280,10
AddManyAsync,MongoDB,249446,Athlete,17280,10
AddManyAsync,PostgreSQL,52331,Event,1390,10
AddManyAsync,MongoDB,31008,Event,1390,10
AddManyAsync,PostgreSQL,910698,Result,35500,10
AddManyAsync,MongoDB,659776,Result,35500,10
GetByIdAsync,PostgreSQL,12500,Athlete,1,10
GetByIdAsync,MongoDB,39856,Athlete,1,10
GetByIdAsync,PostgreSQL,3175,Event,1,10
GetByIdAsync,MongoDB,4391,Event,1,10
GetByIdAsync,PostgreSQL,3466,Result,1,10
GetByIdAsync,MongoDB,4832,Result,1,10
GetAllAsync,PostgreSQL,42312,Athlete,17280,10
GetAllAsync,MongoDB,126305,Athlete,17280,10
GetAllAsync,PostgreSQL,8265,Event,1390,10
GetAllAsync,MongoDB,14184,Event,1390,10
GetAllAsync,PostgreSQL,68062,Result,35500,10
GetAllAsync,MongoDB,746040,Result,35500,10
UpdateAsync,PostgreSQL,3483,Athlete,1,10
UpdateAsync,MongoDB,10525,Athlete,1,10
UpdateAsync,PostgreSQL,3121,Event,1,10
UpdateAsync,MongoDB,2185,Event,1,10
UpdateAsync,PostgreSQL,3433,Result,1,10
UpdateAsync,MongoDB,1721,Result,1,10
DeleteAsync,PostgreSQL,2792,Result,1,10
DeleteAsync,MongoDB,6789,Result,1,10
DeleteAsync,PostgreSQL,5167,Athlete,1,10
DeleteAsync,MongoDB,1416,Athlete,1,10
DeleteAsync,PostgreSQL,5263,Event,1,10
DeleteAsync,MongoDB,1410,Event,1,10
DeleteAllAsync,PostgreSQL,22110,Result,35451,10
DeleteAllAsync,MongoDB,255235,Result,35499,10
DeleteAllAsync,PostgreSQL,1190788,Athlete,17279,10
DeleteAllAsync,MongoDB,107907,Athlete,17279,10
DeleteAllAsync,PostgreSQL,100994,Event,1389,10
DeleteAllAsync,MongoDB,9304,Event,1389,10
AddManyAsync,PostgreSQL,284086,Athlete,17280,10
AddManyAsync,MongoDB,243131,Athlete,17280,10
AddManyAsync,PostgreSQL,53539,Event,1390,10
AddManyAsync,MongoDB,31686,Event,1390,10
AddManyAsync,PostgreSQL,912623,Result,35500,10
AddManyAsync,MongoDB,689395,Result,35500,10
GetByIdAsync,PostgreSQL,12544,Athlete,1,10
GetByIdAsync,MongoDB,39230,Athlete,1,10
GetByIdAsync,PostgreSQL,3258,Event,1,10
GetByIdAsync,MongoDB,4429,Event,1,10
GetByIdAsync,PostgreSQL,3352,Result,1,10
GetByIdAsync,MongoDB,4949,Result,1,10
GetAllAsync,PostgreSQL,47073,Athlete,17280,10
GetAllAsync,MongoDB,101219,Athlete,17280,10
GetAllAsync,PostgreSQL,8679,Event,1390,10
GetAllAsync,MongoDB,15510,Event,1390,10
GetAllAsync,PostgreSQL,73638,Result,35500,10
GetAllAsync,MongoDB,760313,Result,35500,10
UpdateAsync,PostgreSQL,3847,Athlete,1,10
UpdateAsync,MongoDB,10437,Athlete,1,10
UpdateAsync,PostgreSQL,2988,Event,1,10
UpdateAsync,MongoDB,1737,Event,1,10
UpdateAsync,PostgreSQL,2820,Result,1,10
UpdateAsync,MongoDB,1699,Result,1,10
DeleteAsync,PostgreSQL,2788,Result,1,10
DeleteAsync,MongoDB,6921,Result,1,10
DeleteAsync,PostgreSQL,5652,Athlete,1,10
DeleteAsync,MongoDB,1351,Athlete,1,10
DeleteAsync,PostgreSQL,5343,Event,1,10
DeleteAsync,MongoDB,1322,Event,1,10
DeleteAllAsync,PostgreSQL,21420,Result,35451,10
DeleteAllAsync,MongoDB,250044,Result,35499,10
DeleteAllAsync,PostgreSQL,1190669,Athlete,17279,10
DeleteAllAsync,MongoDB,107301,Athlete,17279,10
DeleteAllAsync,PostgreSQL,99560,Event,1389,10
DeleteAllAsync,MongoDB,9438,Event,1389,10
AddManyAsync,PostgreSQL,295432,Athlete,17280,10
AddManyAsync,MongoDB,242356,Athlete,17280,10
AddManyAsync,PostgreSQL,49983,Event,1390,10
AddManyAsync,MongoDB,31874,Event,1390,10
AddManyAsync,PostgreSQL,914828,Result,35500,10
AddManyAsync,MongoDB,663162,Result,35500,10
GetByIdAsync,PostgreSQL,11844,Athlete,1,10
GetByIdAsync,MongoDB,38115,Athlete,1,10
GetByIdAsync,PostgreSQL,3333,Event,1,10
GetByIdAsync,MongoDB,4471,Event,1,10
GetByIdAsync,PostgreSQL,3418,Result,1,10
GetByIdAsync,MongoDB,4864,Result,1,10
GetAllAsync,PostgreSQL,42025,Athlete,17280,10
GetAllAsync,MongoDB,95322,Athlete,17280,10
GetAllAsync,PostgreSQL,7995,Event,1390,10
GetAllAsync,MongoDB,14211,Event,1390,10
GetAllAsync,PostgreSQL,67988,Result,35500,10
GetAllAsync,MongoDB,706759,Result,35500,10
